     3.00           OBSERVATION DATA    G                   RINEX VERSION / TYPE
                    GMV                 20170106 001734 UTC PGM / RUN BY / DATE 
SWARM                                                       MARKER NAME         
SPACEBORNE                                                  MARKER TYPE         
NameOfObserver      ESA                                     OBSERVER / AGENCY   
123456              SWARM GPSR          TBD                 REC # / TYPE / VERS 
                    SWARM POD                               ANT # / TYPE        
 -5265383.2500  3906266.5400 -1896244.1300                  APPROX POSITION XYZ 
        0.0000        0.0000        0.0000                  ANTENNA: DELTA H/E/N
        0.0000        0.0000        0.0000                  ANTENNA: DELTA X/Y/Z
        0.0000        0.0000        0.0000                  ANTENNA: B.SIGHT XYZ
        0.0000        0.0000        0.0000                  CENTER OF MASS: XYZ 
G    8 L1C L2P C1C C1P C2P S1C S1P S2P                      SYS / # / OBS TYPES 
  2017     1     1    23     0   18.0000000     GPS         TIME OF FIRST OBS   
                                                            END OF HEADER       
G14   1273982.700           0.000    24334038.046           0.000           0.000          35.710 5         0.000           0.000  
G26  -8322158.128   -21424681.345    22918608.291    22918608.872    22918613.847          44.720 7        29.070 4        29.070 4
G27 -23831231.464   -33685927.708    19386380.308    19386380.791    19386384.627          55.940 9        44.940 7        44.940 7
G08 -17297280.720   -28563820.448    20642736.836    20642737.284    20642742.121          52.340 8        39.630 6        39.630 6
G16   7581632.483    -9731196.478    20961543.593    20961543.305    20961544.455          51.690 8        37.050 6        37.050 6
> 2017 01 02 01 18 59.9988164  0  8
G07  10012297.567    -8755607.876    24887540.510    24887541.097    24887541.528          36.150 6        14.080 2        14.080 2
G23 -21072259.934   -31880619.292    19950433.149    19950433.236    19950432.781          54.580 9        41.200 6        41.200 6
G09  -7684088.725   -21260474.288    22348313.974    22348314.590    22348317.920          44.860 7        27.390 4        27.390 4
G14    963806.673           0.000    24275013.067           0.000           0.000          36.110 6         0.000           0.000  
G26  -8025417.066   -21193454.580    22975076.709    22975077.180    22975082.144          44.640 7        29.050 4        29.050 4
G27 -23846497.329   -33697823.193    19383475.216    19383475.757    19383479.490          55.880 9        44.800 7        44.800 7
G08 -17577301.339   -28782018.322    20589450.503    20589451.153    20589455.973          52.540 8        40.220 6        40.220 6
G16   7884392.926    -9495279.281    21019156.564    21019156.777    21019158.077          51.430 8        36.970 6        36.970 6
> 2017 01 02 01 19  9.9988150  0  8
G07  10229781.593    -8586139.969    24928925.659    24928926.384    24928928.213          36.100 6        14.230 2        14.230 2
G23 -21037683.939   -31853677.001    19957012.676    19957012.848    19957012.382          54.610 9        41.200 6        41.200 6
G09  -7464663.240   -21089493.472    22390068.830    22390069.750    22390073.321          44.630 7        27.310 4        27.310 4
G14    654436.263           0.000    24216140.777           0.000           0.000          36.080 6         0.000           0.000  
G26  -7726377.994   -20960437.187    23031981.796    23031982.366    23031987.272          44.330 7        28.560 4        28.560 4
G27 -23854455.755   -33704024.577    19381960.564    19381961.323    19381965.091          55.910 9        44.720 7        44.720 7
G08 -17852036.273   -28996097.484    20537170.082    20537170.881    20537175.632          52.670 8        40.540 6        40.540 6
G16   8191193.563    -9256213.887    21077538.616    21077538.834    21077540.370          51.140 8        36.520 6        36.520 6
> 2017 01 02 01 19 19.9988136  0  8
G07  10448677.321    -8415571.900    24970581.101    24970580.641    24970583.528          35.860 5        13.420 2        13.420 2
G23 -20998885.811   -31823444.746    19964395.761    19964395.899    19964395.439          54.540 9        41.040 6        41.040 6
G09  -7243172.851   -20916903.656    22432217.640    22432218.060    22432222.074          44.440 7        26.890 4        26.890 4
G14    345905.386   -14919648.307    24157431.356           0.000    24157432.443          36.540 6         0.000          11.670 1
G26  -7425107.059   -20725680.663    23089311.528    23089312.184    23089317.320          44.010 7        28.250 4        28.250 4
G27 -23855106.298   -33704531.512    19381836.938    19381837.110    19381840.906          55.940 9        44.760 7        44.760 7
